Entity,Definition,Images
(a) Salivary gland,Not found on Wikipedia,['Image not found']
Neon,Neon is a chemical element with the symbol Ne and atomic number 10.,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/Cubic-face-centered.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e6/Discovery_of_neon_isotopes.JPG', 'https://upload.wikimedia.org/wikipedia/commons/0/0c/FLORIST_%28neon_sign%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/91/Ne-water_clathrate.png']"
Structural components,Not found on Wikipedia,['Image not found']
Central Building Research Institute,"Central Building Research Institute (CBRI), located at Roorkee, Uttarakhand, India, is a constituent establishment of Council of Scientific and Industrial Research responsible for ""generating, cultivating and promoting building science and technology"" in India.","['https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'Image not found', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Symbol_category_class.svg']"
Pneumonia-causing bacteria,Not found on Wikipedia,['Image not found']
Health problems,Not found on Wikipedia,['Image not found']
Energy saving bulb,Not found on Wikipedia,['Image not found']
Organic impurities,Not found on Wikipedia,['Image not found']
Plant height,Not found on Wikipedia,['Image not found']
Dry marble floor,Not found on Wikipedia,['Image not found']
Fig. 11.6(b),Not found on Wikipedia,['Image not found']
Infections,Not found on Wikipedia,['Image not found']
Aluminium ions,Not found on Wikipedia,['Image not found']
Other organisms,Not found on Wikipedia,['Image not found']
entity2,Not found on Wikipedia,['Image not found']
Igneous rocks,Not found on Wikipedia,['Image not found']
Amla,Amla may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Well planned development programmes,Not found on Wikipedia,['Image not found']
Substance 1,Not found on Wikipedia,['Image not found']
Conference halls,Not found on Wikipedia,['Image not found']
Day and night,Not found on Wikipedia,['Image not found']
60 km h–1,Not found on Wikipedia,['Image not found']
Simple organisms,Not found on Wikipedia,['Image not found']
Time,"Time is the continued sequence of existence and events that occurs in an apparently irreversible succession from the past, through the present, into the future.","['https://upload.wikimedia.org/wikipedia/commons/6/63/Aleutian_Islands_with_180th_meridian_and_International_Date_Line_%28cropped%29.png', 'https://upload.wikimedia.org/wikipedia/commons/e/e0/ChipScaleClock2_HR.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/He1523a.jpg']"
Longer line,Not found on Wikipedia,['Image not found']
Chromoplasts,Not found on Wikipedia,['Image not found']
Bile juice secretion,Not found on Wikipedia,['Image not found']
Washed,Not found on Wikipedia,['Image not found']
Sound board,Not found on Wikipedia,['Image not found']
Wire mesh,Not found on Wikipedia,['Image not found']
Calorific Values,Not found on Wikipedia,['Image not found']
Life related phenomenon,Not found on Wikipedia,['Image not found']
Radioactive isotope,Not found on Wikipedia,['Image not found']
