Entity,Definition,Images
Stay outside,Not found on Wikipedia,['Image not found']
Smoke,"Smoke is a suspension of airborne particulates and gases emitted when a material undergoes combustion or pyrolysis, together with the quantity of air that is entrained or otherwise mixed into the mass.","['https://upload.wikimedia.org/wikipedia/commons/0/03/Bee_smoker02.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/24/Black_Fire_Smoke_during_a_Heat_Wvae.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Diesel-smoke.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6e/Fish_processing_hub.jpg']"
Amazon rainforest,"The Amazon rainforest, also called Amazon jungle or Amazonia, is a moist broadleaf tropical rainforest in the Amazon biome that covers most of the Amazon basin of South America.","['https://upload.wikimedia.org/wikipedia/commons/9/90/2021_Top_ten_countries_for_tropical_primary_forest_loss_-_World_Resources_Institute.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/20220910_Amazon_deforestation_and_degradation%2C_by_country_-_Amazon_Watch.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e5/Afternoon_Clouds_over_the_Amazon_Rainforest.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Amazon14_%285641588550%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Amazon_CIAT_%282%29.jpg']"
Alpha ray,Not found on Wikipedia,['Image not found']
Sodium chloride,"Sodium chloride , commonly known as salt (although sea salt also contains other chemical salts), is an ionic compound with the chemical formula NaCl, representing a 1:1 ratio of sodium and chloride ions.","['https://upload.wikimedia.org/wikipedia/commons/0/0f/Buckminsterfullerene-perspective-3D-balls.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/91/Dead-Sea---Salt-Evaporation-Ponds.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg']"
Centrosome,"In cell biology, the centrosome (Latin centrum 'center' + Greek sōma 'body') (archaically cytocentre) is an organelle that serves as the main microtubule organizing center (MTOC) of the animal cell, as well as a regulator of cell-cycle progression.","['https://upload.wikimedia.org/wikipedia/commons/4/48/Animal_cell_structure_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/Centrosome_%28borderless_version%29-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Cytokinesis-electron-micrograph.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9c/Molly_Sheehan_Wikipedia_1.jpg']"
Heavy rain,Not found on Wikipedia,['Image not found']
Research,"Research is ""creative and systematic work undertaken to increase the stock of knowledge"".","['https://upload.wikimedia.org/wikipedia/commons/f/f5/Alcator_C-Mod.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Aristotle_Altemps_Inv8575.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Pumice powder,Not found on Wikipedia,['Image not found']
Bee,"Bees are winged insects closely related to wasps and ants, known for their roles in pollination and, in the case of the best-known bee species, the western honey bee, for producing honey.","['https://upload.wikimedia.org/wikipedia/commons/9/95/A_bee_covered_with_pollen.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ad/Abeille_butineuse_et_son_pollen.JPG', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Amegilla_cingulata_on_long_tube_of_Acanthus_ilicifolius_flower.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c4/Anthidium_February_2008-1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Apis_mellifera_flying.jpg']"
Scurvy,Scurvy is a disease resulting from a lack of vitamin C (ascorbic acid).,"['https://upload.wikimedia.org/wikipedia/commons/1/12/ASM-30-325-g001.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/db/ASM-30-325-g002.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/ASM-30-325-g003.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c8/A_case_of_Scurvy_journal_of_Henry_Walsh_Mahon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Earthquake science,Not found on Wikipedia,['Image not found']
Organic bone marrow,Not found on Wikipedia,['Image not found']
Lowercase,Not found on Wikipedia,['Image not found']
Sense,"A sense is a biological system used by an organism for sensation, the process of gathering information about the world through the detection of stimuli.","['https://upload.wikimedia.org/wikipedia/commons/6/65/1668_G%C3%A9rard_de_Lairesse_-_Allegory_of_the_Five_Senses.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2d/Issoria_lathonia.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Experience,"Experience refers to conscious events in general, more specifically to perceptions, or to the practical knowledge and familiarity that is produced by these processes.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Socrates.png', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Symbol_category_class.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg']"
Probability,"In science, the probability of an event is a number that indicates how likely the event is to occur.","['https://upload.wikimedia.org/wikipedia/commons/3/33/Bendixen_-_Carl_Friedrich_Gau%C3%9F%2C_1828.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/03/Cardano.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Christiaan_Huygens-painting.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Dice_Distribution_%28bar%29.svg']"
Lighter,"A lighter is a portable device which creates a controlled flame, and can be used to ignite a variety of flammable items, such as cigarettes, butane gas, fireworks, candles or campfires.","['https://upload.wikimedia.org/wikipedia/commons/c/cb/Codex_Loeffelholz_F_27v_-_wheellock_-_rotated_90%C2%B0_CCW.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/60/FRAD022_-_%22_Artisanat_de_tranch%C3%A9e_%22%2C_item_4.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/15/Hamburg_Museum_2010-1207-217.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/02/Lighter_diagram.PNG']"
Marsh,A marsh is a wetland that is dominated by herbaceous rather than woody plant species.,"['https://upload.wikimedia.org/wikipedia/commons/7/7e/Atchafalaya_Basin.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/Culbin_Salt_Marsh_-_geograph.org.uk_-_185128.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Jyv%C3%A4skyl%C3%A4_-_swamp_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/03/MeadowInBigBear.JPG']"
Physical property,"A physical property is any property that is measurable, whose value describes a state of a physical system.","['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']"
Natural environment,"The natural environment or natural world encompasses all living and non-living things occurring naturally, meaning in this case not artificial.","['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Ahja_j%C3%B5e_%C3%BCrgorg.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Air_pollution_by_industrial_chimneys.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/Aletschgletsjer_Zwitserland.JPG', 'https://upload.wikimedia.org/wikipedia/commons/f/f5/Amazon_Rainforest-bird_site.jpg']"
Water vapor,"Water vapor, water vapour or aqueous vapor is the gaseous phase of water.","['https://upload.wikimedia.org/wikipedia/commons/4/4b/Above_the_Clouds.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/61/Artist%27s_Concept_of_Europa_Water_Vapor_Plume.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/15/Atmosphere_of_exoplanet.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/Atmospheric_Water_Vapor_Mean.2005.030.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/BAMS_climate_assess_boulder_water_vapor_2002_-_2.png']"
Europe,"Europe is a continent comprising the westernmost peninsulas of Eurasia, located entirely in the Northern Hemisphere and mostly in the Eastern Hemisphere.","['https://upload.wikimedia.org/wikipedia/commons/9/9d/1916_political_map_of_Europe.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/Africa_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9d/Afro-Eurasia_%28orthographic_projection%29_political.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/Alliances_militaires_en_Europe_1914-1918-fr.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Americas_%28orthographic_projection%29.svg']"
Lipase,"Lipase ( LY-payss, LY-payz) is a family of enzymes that catalyzes the hydrolysis of fats.","['https://upload.wikimedia.org/wikipedia/commons/2/2d/Issoria_lathonia.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b2/Lipase_PLRP2.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Hydrogen,Hydrogen is the chemical element with the symbol H and atomic number 1.,"['https://upload.wikimedia.org/wikipedia/commons/0/09/19._%D0%95%D0%BA%D1%81%D0%BF%D0%BB%D0%BE%D0%B7%D0%B8%D1%98%D0%B0_%D0%BD%D0%B0_%D1%81%D0%BC%D0%B5%D1%81%D0%B0_%D0%BE%D0%B4_%D0%B2%D0%BE%D0%B4%D0%BE%D1%80%D0%BE%D0%B4_%D0%B8_%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85.webm', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/Antoine-Laurent_Lavoisier_%28by_Louis_Jean_Desire_Delaistre%29RENEW.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1c/Blausen_0530_HydrogenIsotopes.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Crystal_energy.svg']"
Cake,"Cake is a flour confection made from flour, sugar, and other ingredients, and is usually baked.","['https://upload.wikimedia.org/wikipedia/commons/8/88/182365_Gooey_Butter_Cake.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/70/A_sheet_cake.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/At_the_Seattle_Bridal_Show2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Birthday_cake.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Cake_Balls.jpg']"
Survival,"Survival, or the act of surviving, is the propensity of something to continue existing, particularly when this is done despite conditions that might kill or destroy it.","['https://upload.wikimedia.org/wikipedia/commons/4/44/Cobra_Gold_Jungle_Survival.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Survival_outpost_in_Antarctica.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Survival_outpost_in_Antarctica.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg']"
Irrigation,"Irrigation (also referred to as watering) is the practice of applying controlled amounts of water to land to help grow crops, landscape plants, and lawns.","['https://upload.wikimedia.org/wikipedia/commons/1/1b/Bisse.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3d/Center-pivot_irrigation.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/27/Center_Pivot.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/34/Crop_Triangle_South_Africa.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ef/Crop_sprinklers_Rio_Vista_California_15_Jul_2004-002.jpg']"
