Entity,Definition,Images
Simple leaf,Not found on Wikipedia,['Image not found']
 Directionality,Not found on Wikipedia,['Image not found']
Shilpi,Shilpi (transl. The Artist) is a 1994 Bengali film.,['https://upload.wikimedia.org/wikipedia/commons/a/a6/India_film_clapperboard_%28variant%29.svg']
Tourist attraction,"A tourist attraction is a place of interest that tourists visit, typically for its inherent or an exhibited natural or cultural value, historical significance, natural or built beauty, offering leisure and amusement.","['https://upload.wikimedia.org/wikipedia/commons/7/7b/-_panoramio_%281794%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c0/1_times_square_night_2013.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e9/20160806-DSCF1573-BalTone.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/37/Aerial_View_of_Hardy_Reef_-_2013.04_-_panoramio.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/af/All_Gizah_Pyramids.jpg']"
Human digestive system,"The human digestive system consists of the gastrointestinal tract plus the accessory organs of digestion (the tongue, salivary glands, pancreas, liver, and gallbladder).","['https://upload.wikimedia.org/wikipedia/commons/4/44/17th_century_Persian_digestive_system.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/3D_Medical_Animation_Oral_Cavity.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/be/Anatomy_of_liver_and_gall_bladder.png', 'https://upload.wikimedia.org/wikipedia/commons/d/df/Blausen_0780_SalivaryGlands.png', 'https://upload.wikimedia.org/wikipedia/commons/7/77/Blausen_0817_SmallIntestine_Anatomy.png']"
Experimental method,Not found on Wikipedia,['Image not found']
Test tube,"A test tube, also known as a culture tube or sample tube, is a common piece of laboratory glassware consisting of a finger-like length of glass or clear plastic tubing, open at the top and closed at the bottom.","['https://upload.wikimedia.org/wikipedia/commons/6/6f/Blood_test.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Ignition_Tube.png', 'https://upload.wikimedia.org/wikipedia/commons/1/19/Louis_Lumiere_with_microscope_and_test_tubes.jpg', 'Image not found']"
Natural rubber,"Rubber, also called India rubber, latex, Amazonian rubber, caucho, or caoutchouc, as initially produced, consists of polymers of the organic compound isoprene, with minor impurities of other organic compounds.","['https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/42/Caoutchouc_naturel.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2b/Ceylon_rubber.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/Compression_Molding_Machine.jpg']"
Musical instrument,A musical instrument is a device created or adapted to make musical sounds.,"['https://upload.wikimedia.org/wikipedia/commons/c/c3/45_record.png', 'https://upload.wikimedia.org/wikipedia/commons/9/95/African_music_instrument_made_from_a_can_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0a/Alboka.png', 'https://upload.wikimedia.org/wikipedia/commons/6/61/Attributes_of_Music.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/CarnyxDeTintignac2.jpg']"
Cavity,Cavity may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Curd,Curd is obtained by coagulating milk in a sequential process called curdling.,"['https://upload.wikimedia.org/wikipedia/commons/4/46/Cheese_Curds_with_scale_measurement.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/Fabrication_du_Beaufort_%2811%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/df/Kaimi%C5%A1ka_var%C5%A1k%C4%97.JPG']"
Sea urchin,"Sea urchins () are spiny, globular echinoderms in the class Echinoidea.","['https://upload.wikimedia.org/wikipedia/commons/4/49/Arbacia_lixula_03.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/62/Archaeocidaris_brownwoodensis_MHNT.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/Atlantic_cod.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3c/BlackSeaUrchinTest.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c1/Caenopedina_hawaiiensis.jpg']"
To Kill a Mockingbird,To Kill a Mockingbird is a novel by the American author Harper Lee.,"['https://upload.wikimedia.org/wikipedia/commons/e/e7/Cscr-featured.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/31/En-To_Kill_a_Mockingbird-p2.ogg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/En-To_Kill_a_Mockingbird.ogg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Harper_Lee_Medal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4c/Mimus_polyglottus1_cropped.png']"
Optical phenomenon,Not found on Wikipedia,['https://upload.wikimedia.org/wikipedia/commons/3/31/Redirect_arrow_without_text.svg']
Living organism,Not found on Wikipedia,['Image not found']
Material,Material is a substance or mixture of substances that constitutes an object.,"['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d3/Plastic_objects.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f7/Red_terracotta_flowerpots.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Stainless_kitchen_container_with_cover.jpg']"
Parallel reflection,Not found on Wikipedia,['Image not found']
Dependence,Not found on Wikipedia,['Image not found']
Scattered marble,Not found on Wikipedia,['Image not found']
Photosyn thesis,Not found on Wikipedia,['Image not found']
Pomt,Not found on Wikipedia,['Image not found']
Robert Hook,Robert Hook may refer to:,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
.s1em,Not found on Wikipedia,['Image not found']
Video game,"A video game is an electronic game that involves interaction with a user interface or input device (such as a joystick, controller, keyboard, or motion sensing device) to generate visual feedback from a display device, most commonly shown in a video format on a television set, computer monitor, flat-panel display or touchscreen on handheld devices, or a virtual reality headset, hence the name.","['https://upload.wikimedia.org/wikipedia/commons/d/db/AFA_Beech_in_Flight_Simulator.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2f/Arcade_Sugoi_Malmi_Helsinki.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Compulsion_loop_for_video_games.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b0/Consoles-computerspielemuseum.jpg']"
Slational motion,Not found on Wikipedia,['Image not found']
H 1 t,Not found on Wikipedia,['Image not found']
Flesh,Flesh is any aggregation of soft tissues of an organism.,"['https://upload.wikimedia.org/wikipedia/commons/d/da/Boletus_erythropus_2010_G1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/Bone.png', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Papaya_-_longitudinal_section.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/60/Standing-rib-roast.jpg']"
Speech,Speech is a human vocal communication using language.,"['https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/03/BrocasAreaSmall.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Encoding_communication.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/de/Globe_of_letters.svg']"
Powder,"A powder is a dry, bulk solid composed of many very fine particles that may flow freely when shaken or tilted.","['https://upload.wikimedia.org/wikipedia/commons/a/a7/Action_photo_of_nasal_spray_on_a_black_background.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/FlattenedRoundPills.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/98/Glycerin_suppositories.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/Hexaaquatitanium%28III%29-solution.jpg']"
Middle ear,"The middle ear is the portion of the ear medial to the eardrum, and distal to the oval window of the cochlea (of the inner ear).","['https://upload.wikimedia.org/wikipedia/commons/c/ca/1871_Descent_F937.1_fig03.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d2/Anatomy_of_the_Human_Ear.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5f/Gray919.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Eye part,Not found on Wikipedia,['Image not found']
Mganism,Not found on Wikipedia,['Image not found']
Basak,Basak may refer to:,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
Roof,"A roof (PL: roofs or rooves) is the top covering of a building, including all materials and constructions necessary to support it on the walls of the building or on uprights, providing protection against rain, snow, sunlight, extremes of temperature, and wind.","['https://upload.wikimedia.org/wikipedia/commons/b/b2/Ashdod_2005%2C_rooftop_view_p2.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Big_single-family_home_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a8/Buildings_from_Peace_Avenue.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/58/Churches_in_Olomouc.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Geology of the Earth,Not found on Wikipedia,['Image not found']
Floating,Floating may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Candle,"A candle is an ignitable wick embedded in wax, or another flammable solid substance such as tallow, that provides light, and in some cases, a fragrance.","['https://upload.wikimedia.org/wikipedia/commons/c/c9/7candles.JPG', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Anatomy_of_a_candle_flame.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/47/Candle_Wick.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3d/Candle_With_Gold_Stand.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/23/Candles.jpg']"
Physical process,Not found on Wikipedia,['Image not found']
Thermal conduction,Conduction is the process by which heat is transferred from the hotter end to the colder end of an object.,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/OiintLaTeX.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']"
Back motion,Not found on Wikipedia,['Image not found']
Rinsing,Not found on Wikipedia,['Image not found']
Negative attitude,Not found on Wikipedia,['Image not found']
Natural phenomenon,Not found on Wikipedia,['Image not found']
