Entity,Definition,Images
Health impacts,Not found on Wikipedia,['Image not found']
Scientific principles,Not found on Wikipedia,['Image not found']
Soil type,A soil type  is a taxonomic unit in soil science.,"['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b8/Soil_profile.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Symbol_category_class.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/db/Symbol_list_class.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/72/Symbol_project_class.svg']"
Soil,"Soil, commonly referred to as dirt, or earth, is a mixture of organic matter, minerals, gases, liquids, and organisms that together support life  of plants and soil organisms.","['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/28/Cone_penetration_test.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/Core_sample.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Definition_of_Free_Cultural_Works_logo_notext.svg']"
Crop growth,Not found on Wikipedia,['Image not found']
Pest control methods,Not found on Wikipedia,['Image not found']
Crops,Not found on Wikipedia,['Image not found']
Biodiversity,Biodiversity or biological diversity is the variety and variability of life on Earth.,"['https://upload.wikimedia.org/wikipedia/commons/4/4b/Amazon_Manaus_forest.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/44/Wapiti_from_Wagon_Trails.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2a/Eaglecreek-28July2006.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c4/Field_Hamois_Belgium_Luc_Viatour.jpg']"
Global population,Not found on Wikipedia,['Image not found']
Fish farming,"Fish farming or pisciculture involves commercial breeding of fish, most often for food, in fish tanks or artificial enclosures such as fish ponds.","['https://upload.wikimedia.org/wikipedia/commons/d/d4/2019-03-16_01_Aquaculture_in_Chile.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Abstreifen.JPG', 'https://upload.wikimedia.org/wikipedia/commons/3/3d/Antennarius_striatus.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8d/Aufzuchtbecken.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Degradation,Degradation may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Stacked layers,Not found on Wikipedia,['Image not found']
