Entity,Definition
Book cover,A book cover is any protective covering used to bind together the pages of a book.
National Council of Educational Research and Training,"The National Council of Educational Research and Training (NCERT) is an autonomous organisation of the Government of India which was established in 1961 as a literary, scientific and charitable Society under the Societies Registration Act."
Bookish learning,Not found on Wikipedia
Syllabi,Not found on Wikipedia
Rote learning,Rote learning is a memorization technique based on repetition.
National Policy on Education,The National Policy on Education (NPE) is a policy formulated by the Government of India to promote and regulate education in India.
Principal (education),Not found on Wikipedia
New knowledge,Not found on Wikipedia
Textbook,A textbook is a book containing a comprehensive compilation of content in a branch of study with the intention of explaining it.
Participant,Not found on Wikipedia
Mode of functioning,Not found on Wikipedia
Day,A day is the time period of a full rotation of the Earth with respect to the Sun.
Education,"Education is a purposeful activity directed at achieving certain aims, such as transmitting knowledge or fostering skills and character traits."
Wonderment,Not found on Wikipedia
T raining NCER T appr eciates,Not found on Wikipedia
Rathnasr ee,Not found on Wikipedia
Ganisation,Not found on Wikipedia
Mrinal Miri,Mrinal Miri (born 1 August 1940) is an Indian philosopher and educationalist.
Rajiv Gandhi,Rajiv Gandhi ( (listen); 20 August 1944 – 21 May 1991) was an Indian politician who served as the sixth prime minister of India from 1984 to 1989.
NCER T,Not found on Wikipedia
Mathematics,"Mathematics is an area of knowledge that includes the topics of numbers, formulas and related structures, shapes and the spaces in which they are contained, and quantities and their changes."
Astrophysics,Astrophysics is a science that employs the methods and principles of physics and chemistry in the study of astronomical objects and phenomena.
National Council for the Indian Railways,Not found on Wikipedia
Lahiry Professor,Not found on Wikipedia
University of Delhi,Not found on Wikipedia
National Cancer Research Organisation,Not found on Wikipedia
Sri Venkateswara College,"Sri Venkateswara College is a constituent college of the University of Delhi established in 1961 in New Delhi, India."
Indira Gandhi National Open University,"Indira Gandhi National Open University, known as IGNOU, is a Central University located at Maidan Garhi, New Delhi, India."
Manipur University,"Manipur University (Meitei: Manipur Taibang Maheikol) is a central university located in Imphal, Manipur, India."
India,"India, officially the Republic of India (Hindi: Bhārat Gaṇarājya), is a country in South Asia."
Sunita Malhotra,Not found on Wikipedia
National Council for Research in Education,Not found on Wikipedia
National Council of Educational Resear ch and T raining NCER T,Not found on Wikipedia
Ramjas School,Ramjas School may refer to:
India,"India, officially the Republic of India (Hindi: Bhārat Gaṇarājya), is a country in South Asia."
Shukhvir Singh,Not found on Wikipedia
Vinod Raina,Vinod Raina (died 12 September 2013) was an Indian educationist.
Amitabha Mukherjee,Not found on Wikipedia
Delhi,"Delhi, officially the National Capital Territory (NCT) of Delhi, is a city and a union territory of India containing New Delhi, the capital of India."
Pramila T. Anwar,Not found on Wikipedia
Srivastava,"Srivastava (Hindi pronunciation: [ʃɾiːʋaːstəʋ]; Śrīvāstava), also spelled variously as Shrivastava, Shrivastav or Srivastav, is a common surname found amongst the Chitraguptavanshi Kayastha community of upper caste Hindus particularly in the Hindi-speaking regions of India."
Arvind Kumar,Arvind Kumar may refer to:
Mumbai,"Mumbai (English:  (listen), Marathi: [ˈmumbəi]; also known as Bombay — the official name until 1995) is the capital city of the Indian state of Maharashtra and the de facto financial centre of India."
