Entity,Definition,Images
Passage gas,Not found on Wikipedia,['Image not found']
Fahrenheit,The Fahrenheit scale () is a temperature scale based on one proposed in 1724 by the physicist Daniel Gabriel Fahrenheit (1686–1736).,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Countries_that_use_Fahrenheit.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Crystal_energy.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/Raumthermometer_Fahrenheit%2BCelsius.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/70/Thermometer_CF.svg']"
Ship,"A ship is a large watercraft that travels the world's oceans and other sufficiently deep waterways, carrying cargo or passengers, or in support of specialized missions, such as defense, research and fishing.","['https://upload.wikimedia.org/wikipedia/commons/6/69/Able-seaman-scaling-winch.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Albatun_Dod.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Amerigo_vespucci_1976_nyc_aufgetakelt.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Atlas_pittoresque_pl_096.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/Borobudur_ship.JPG']"
Can you connect the two observations,Not found on Wikipedia,['Image not found']
Slowest moving turtle,Not found on Wikipedia,['Image not found']
False,False or falsehood may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Archimedes,"Archimedes of Syracuse (; c. 287 – c. 212 BC) was a Greek mathematician, physicist, engineer, astronomer, and inventor from the ancient city of Syracuse in Sicily.","['https://upload.wikimedia.org/wikipedia/commons/b/bd/03._%D0%A0%D0%B5%D0%B0%D0%BA%D1%86%D0%B8%D1%81%D0%BA%D0%B0_%D1%81%D0%B8%D0%BB%D0%B0_%D0%BA%D0%B0%D1%98_%D0%B0%D1%80%D1%85%D0%B8%D0%BC%D0%B5%D0%B4%D0%BE%D0%B2%D0%B8%D0%BE%D1%82_%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD.ogv', 'https://upload.wikimedia.org/wikipedia/commons/2/22/Archimedes-screw_one-screw-threads_with-ball_3D-view_animated_small.gif', 'https://upload.wikimedia.org/wikipedia/commons/5/58/Archimedes_Heat_Ray_conceptual_diagram.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9b/Archimedes_Palimpsest.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/06/Archimedes_%E2%80%93_Opere%2C_1615_%E2%80%93_BEIC_9741168.jpg']"
Reasoning,Not found on Wikipedia,['Image not found']
Building damage,Not found on Wikipedia,['Image not found']
Ideology,"An ideology is a set of beliefs or philosophies attributed to a person or group of persons, especially those held for reasons that are not purely epistemic, in which ""practical elements are as prominent as theoretical ones."" Formerly applied primarily to economic, political, or religious theories and policies, in a tradition going back to Karl Marx and Friedrich Engels, more recent use the term as mainly condemnatory.The term was coined by Antoine Destutt de Tracy, a French Enlightenment aristocrat and philosopher, who conceived it in 1796 as the ""science of ideas"" to develop a rational system of ideas to oppose the irrational impulses of the mob.","['https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cc/Destutt_de_Tracy.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fc/Karl_Marx.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Symbol_category_class.svg']"
Game,"A game is a structured form of play, usually undertaken for entertainment or fun, and sometimes used as an educational tool.","['https://upload.wikimedia.org/wikipedia/commons/1/1f/Clann.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Game_pieces.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0d/Gaming_Board_Inscribed_for_Amenhotep_III_with_Separate_Sliding_Drawer%2C_ca._1390-1353_B.C.E.%2C49.56a-b.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b1/Germany%2C_Mainz%2C_18th_century_-_Gaming_Table_-_1953.284_-_Cleveland_Museum_of_Art.tif']"
Ask your parents,Not found on Wikipedia,['Image not found']
Readymade food,Not found on Wikipedia,['Image not found']
