Entity,Definition,Images
Ship,"A ship is a large watercraft that travels the world's oceans and other sufficiently deep waterways, carrying cargo or passengers, or in support of specialized missions, such as defense, research and fishing.","['https://upload.wikimedia.org/wikipedia/commons/6/69/Able-seaman-scaling-winch.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Albatun_Dod.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Amerigo_vespucci_1976_nyc_aufgetakelt.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Atlas_pittoresque_pl_096.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/Borobudur_ship.JPG']"
False,False or falsehood may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Intermixture,Not found on Wikipedia,['Image not found']
Goitre,"A goitre, or goiter, is a swelling in the neck resulting from an enlarged thyroid gland.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/94/Cretinnen_aus_Steiermark%2C_1819_gez._Loder%2C_gest._Leopold_M%C3%BCller.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d2/Iodine_deficiency_world_map_-_DALY_-_WHO2002.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/Kone_med_stor_struma.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Miesbacher_gebirgstracht_frau.jpg']"
Archimedes,"Archimedes of Syracuse (; c. 287 – c. 212 BC) was a Greek mathematician, physicist, engineer, astronomer, and inventor from the ancient city of Syracuse in Sicily.","['https://upload.wikimedia.org/wikipedia/commons/b/bd/03._%D0%A0%D0%B5%D0%B0%D0%BA%D1%86%D0%B8%D1%81%D0%BA%D0%B0_%D1%81%D0%B8%D0%BB%D0%B0_%D0%BA%D0%B0%D1%98_%D0%B0%D1%80%D1%85%D0%B8%D0%BC%D0%B5%D0%B4%D0%BE%D0%B2%D0%B8%D0%BE%D1%82_%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD.ogv', 'https://upload.wikimedia.org/wikipedia/commons/2/22/Archimedes-screw_one-screw-threads_with-ball_3D-view_animated_small.gif', 'https://upload.wikimedia.org/wikipedia/commons/5/58/Archimedes_Heat_Ray_conceptual_diagram.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9b/Archimedes_Palimpsest.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/06/Archimedes_%E2%80%93_Opere%2C_1615_%E2%80%93_BEIC_9741168.jpg']"
Third law of motion,Not found on Wikipedia,['Image not found']
Equator,"The equator is a circle of latitude that divides a spheroid, such as Earth, into the northern and southern hemispheres.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Countries_touching_the_Equator_and_Prime_Meridian%2C_counting_Norwegian_Antarctic_territories.png', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/ECSundialGPS.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Earthmap720x360_grid.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/71/Equator_Line_Monument%2C_Macap%C3%A1_city%2C_Brazil.jpg']"
University,A university (from Latin  universitas 'a whole') is an institution of higher (or tertiary) education and research which awards academic degrees in several academic disciplines.,"['https://upload.wikimedia.org/wikipedia/commons/6/61/11-11-24-basel-by-ralfr-035.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/40/Archiginnasio_particolari_%289%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Bou_Inania_Madrasa%2CFes.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Class_at_Salamanca.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4d/Columbia_University%2C_NYC_%28June_2014%29_-_09.JPG']"
Canal ray,Not found on Wikipedia,['Image not found']
Initial reading,Not found on Wikipedia,['Image not found']
Stationary object,Not found on Wikipedia,['Image not found']
Fruit mass,Not found on Wikipedia,['Image not found']
Chimney,"A chimney is an architectural ventilation structure made of masonry, clay or metal that isolates hot toxic exhaust gases or smoke produced by a boiler, stove, furnace, incinerator, or fireplace from human living areas.","['https://upload.wikimedia.org/wikipedia/commons/a/af/Big_single-family_home_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Chernobylreactor_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Chimney.stack.london.arp.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5a/ChimneyProvidenceProspectPark.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9f/Chimney_Smoke_Stack.jpg']"
New Zealand,New Zealand (Māori: Aotearoa [aɔˈtɛaɾɔa]) is an island country in the southwestern Pacific Ocean.,"['https://upload.wikimedia.org/wikipedia/commons/3/3b/1863_Meeting_of_Settlers_and_Maoris_at_Hawke%27s_Bay%2C_New_Zealand.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d4/ANZAC_Day_service_at_the_National_War_Memorial_-_Flickr_-_NZ_Defence_Force_%2820%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0e/Aerial_image_of_Christchurch_suburbs_-_Flickr_-_NZ_Defence_Force_%282%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Air_New_Zealand%2C_Boeing_787-9_ZK-NZE_%27All_Blacks%27_NRT_%2827091961041%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Anglophone_World.svg']"
Box,A box (plural: boxes) is a container used for the storage or transportation of its contents.,"['https://upload.wikimedia.org/wikipedia/commons/c/cd/600sojudrinkbox.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Ammunition_Boxes%2C_MDVMHC.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/18/Archive_boxes.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/Box_%28231630111%29.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/5/50/Box_with_cover_MET_DP241878.jpg']"
Fusion power,Fusion power is a proposed form of power generation that would generate electricity by using heat from nuclear fusion reactions.,"['https://upload.wikimedia.org/wikipedia/commons/a/af/20201019_Levelized_Cost_of_Energy_%28LCOE%2C_Lazard%29_-_renewable_energy.svg', 'Image not found', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Binding_energy_curve_-_common_isotopes.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/40/Chart_of_Fusion_Approaches.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Chickpea,"The chickpea or chick pea (Cicer arietinum) is an annual legume of the family Fabaceae, subfamily Faboideae.","['https://upload.wikimedia.org/wikipedia/commons/8/8b/Aesthetic_Fried_Gram.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Bengal_gram%2C_chickpea_%28_%E0%A6%9B%E0%A7%8B%E0%A6%B2%E0%A6%BE%E0%A6%B0_%E0%A6%A1%E0%A6%BE%E0%A6%B2%29.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/68/Chakhchoukha9.JPG', 'https://upload.wikimedia.org/wikipedia/commons/8/89/Chickpea_BNC.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Chickpea_in_black_colour.jpg']"
Chromosome,A chromosome is a long DNA molecule with part or all of the genetic material of an organism.,"['https://upload.wikimedia.org/wikipedia/commons/4/4b/Chromatin_Structures.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Chromosome.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/Chromosome_21.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/Eukaryote_DNA-en.svg']"
Echo-sounder,Not found on Wikipedia,['Image not found']
Low frequency,Low frequency (LF) is the ITU designation for radio frequencies (RF) in the range of 30–300 kHz.,"['https://upload.wikimedia.org/wikipedia/commons/6/63/Aleutian_Islands_with_180th_meridian_and_International_Date_Line_%28cropped%29.png', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Atmosphericnoise.PNG', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Atomic_clock.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/Frequency_vs._wave_length.svg']"
Decomposition,"Decomposition or rot is the process by which dead organic substances are broken down into simpler organic or inorganic matter such as carbon dioxide, water, simple sugars and mineral salts.","['https://upload.wikimedia.org/wikipedia/commons/9/9c/A_punnet_of_rotten_peaches.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/Ants_cleaning_dead_snake.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Berge_naturreservat_omkullfallet_liten_tall.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/27/DecayingPeachSmall.gif']"
Change of state,Not found on Wikipedia,['Image not found']
Drilled well,Not found on Wikipedia,['Image not found']
Explosive,"An explosive (or explosive material) is a reactive substance that contains a great amount of potential energy that can produce an explosion if released suddenly, usually accompanied by the production of light, heat, sound, and pressure.","['https://upload.wikimedia.org/wikipedia/commons/8/8f/17._%D0%95%D0%BA%D1%81%D0%BF%D0%BB%D0%BE%D0%B7%D0%B8%D0%B2%D0%BD%D0%B8_%D1%81%D0%B2%D0%BE%D1%98%D1%81%D1%82%D0%B2%D0%B0_%D0%BD%D0%B0_%D1%82%D1%80%D0%B8_%D1%80%D0%B0%D0%B7%D0%BB%D0%B8%D1%87%D0%BD%D0%B8_%D1%82%D0%B8%D0%BF%D0%BE%D0%B2%D0%B8_%D0%B5%D0%BA%D1%81%D0%BF%D0%BB%D0%BE%D0%B7%D0%B8%D0%B2%D0%B8.webm', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Blast_Area_Security.webm', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/GHS-pictogram-exclam.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/GHS-pictogram-explos.svg']"
International System of Units,"The  International System of Units, known by the international abbreviation SI in all languages: 125 : iii  and sometimes pleonastically as the SI system, is the modern form: 117  of the metric system and the world's most widely used system of measurement.: 123   Established and maintained by the General Conference on Weights and Measures (CGPM), it is the only system of measurement with an official status in nearly every country in the world, employed in science, technology, industry, and everyday commerce.","['https://upload.wikimedia.org/wikipedia/commons/0/0c/981ms2.png', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Alter_Grenzstein_Pontebba_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9b/Carl_Friedrich_Gauss.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b9/CubeLitre.svg']"
